away,away_asts,away_rebs,away_scores,home,home_asts,home_rebs,home_scores,i_home,i_away
okc,25.0,44.0,91.0,phi,27.0,40.0,103.0,19,27
phi,27.0,53.0,108.0,det,22.0,47.0,101.0,10,19
phi,21.0,39.0,79.0,atl,26.0,52.0,95.0,5,19
phi,18.0,37.0,70.0,brk,25.0,47.0,88.0,21,19
mem,22.0,45.0,115.0,phi,33.0,42.0,120.0,19,18
bos,19.0,48.0,87.0,phi,26.0,52.0,105.0,19,3
cho,23.0,35.0,91.0,phi,25.0,45.0,109.0,19,26
phi,20.0,52.0,96.0,orl,21.0,43.0,88.0,1,19
phi,11.0,42.0,91.0,mia,13.0,39.0,87.0,2,19
phi,16.0,42.0,93.0,por,25.0,48.0,114.0,14,19
phi,11.0,44.0,71.0,uta,17.0,55.0,88.0,8,19
phi,16.0,48.0,86.0,gsw,38.0,42.0,126.0,15,19
phi,20.0,41.0,96.0,pho,24.0,48.0,112.0,16,19
phi,17.0,45.0,91.0,lac,33.0,43.0,127.0,12,19
cle,31.0,43.0,95.0,phi,23.0,43.0,92.0,19,4
mil,14.0,44.0,77.0,phi,32.0,43.0,97.0,19,17
phi,22.0,38.0,90.0,brk,21.0,42.0,88.0,21,19
ind,21.0,44.0,93.0,phi,16.0,54.0,92.0,19,20
atl,20.0,35.0,87.0,phi,34.0,47.0,105.0,19,5
phi,13.0,45.0,84.0,tor,26.0,49.0,100.0,0,19
nop,22.0,39.0,96.0,phi,17.0,55.0,81.0,19,24
phi,24.0,42.0,89.0,det,27.0,47.0,107.0,10,19
phi,19.0,30.0,76.0,was,26.0,53.0,111.0,22,19
nyk,20.0,43.0,91.0,phi,26.0,52.0,98.0,19,9
tor,21.0,48.0,86.0,phi,19.0,42.0,91.0,19,0
phi,18.0,48.0,83.0,mem,24.0,47.0,101.0,18,19
phi,15.0,38.0,74.0,nop,28.0,52.0,99.0,24,19
det,27.0,48.0,89.0,phi,15.0,38.0,69.0,19,10
min,27.0,34.0,103.0,phi,24.0,38.0,94.0,19,29
phi,21.0,44.0,85.0,atl,20.0,44.0,91.0,5,19
phi,23.0,37.0,84.0,cle,22.0,43.0,97.0,4,19
den,26.0,49.0,105.0,phi,26.0,37.0,98.0,19,13
phi,22.0,44.0,96.0,bos,27.0,53.0,107.0,3,19
cho,19.0,47.0,89.0,phi,24.0,43.0,81.0,19,26
gsw,21.0,52.0,84.0,phi,26.0,40.0,89.0,19,15
ind,18.0,47.0,95.0,phi,24.0,44.0,106.0,19,20
phi,21.0,41.0,98.0,orl,19.0,38.0,103.0,1,19
phi,27.0,33.0,108.0,mia,27.0,45.0,119.0,2,19
phi,21.0,38.0,88.0,mil,32.0,43.0,104.0,17,19
was,21.0,53.0,89.0,phi,20.0,51.0,81.0,19,22
phi,10.0,47.0,74.0,ind,17.0,53.0,94.0,20,19
tor,32.0,36.0,103.0,phi,24.0,36.0,114.0,19,0
phi,20.0,58.0,118.0,okc,19.0,54.0,123.0,27,19
uta,22.0,43.0,83.0,phi,17.0,49.0,89.0,19,8
atl,24.0,55.0,92.0,phi,20.0,42.0,84.0,19,5
chi,16.0,55.0,95.0,phi,24.0,58.0,104.0,19,11
sac,30.0,46.0,114.0,phi,22.0,50.0,107.0,19,7
brk,21.0,48.0,87.0,phi,20.0,45.0,94.0,19,21
phi,20.0,40.0,89.0,bos,27.0,42.0,108.0,3,19
det,25.0,42.0,94.0,phi,18.0,51.0,83.0,19,10
